product_id,product_name,category,price
1,Society Rest,Toys,190.4
2,Front Left,Toys,475.6
3,May Likely,Clothing,367.34
4,Gas Medical,Books,301.34
5,No West,Books,82.23
6,Form Rise,Electronics,82.22
7,Today Want,Clothing,33.75
8,Same All,Books,433.76
9,Brother Because,Clothing,302.55
10,Job Capital,Toys,355.5
11,Likely Job,Books,15.19
12,Wish Actually,Books,485.11
13,Decade Other,Furniture,417.06
14,Owner Successful,Furniture,110.11
15,Light Walk,Electronics,95.0
16,Where Officer,Furniture,95.79
17,Game Race,Electronics,155.6
18,But These,Furniture,264.75
19,Lose Huge,Electronics,218.81
20,Low Region,Clothing,149.16
21,Want Value,Furniture,307.87
22,Any Very,Books,74.05
23,Car Economic,Toys,149.61
24,Manager Individual,Furniture,186.35
25,Radio Hospital,Toys,230.75
26,Friend Course,Electronics,393.66
27,Also Term,Clothing,103.84
28,Out Somebody,Electronics,259.55
29,Player Type,Electronics,298.25
30,Carry Soon,Toys,27.99
31,Note Country,Furniture,305.73
32,Arm Others,Furniture,89.41
33,Happen Force,Clothing,37.2
34,Carry Heart,Clothing,474.7
35,School Support,Toys,482.99
36,Republican Will,Electronics,405.16
37,Ground Factor,Furniture,155.78
38,Official Reality,Clothing,53.35
39,Former Rather,Electronics,343.7
40,Difference Dinner,Furniture,222.88
41,Father Send,Furniture,65.41
42,Learn Product,Furniture,250.11
43,Amount Tonight,Clothing,22.02
44,Suggest Into,Furniture,455.11
45,Cell Heavy,Electronics,133.1
46,Federal Member,Furniture,332.95
47,Building Board,Clothing,159.3
48,Son Her,Books,262.43
49,Race Ever,Clothing,275.62
50,Seem But,Furniture,96.5
51,Five Thing,Electronics,484.94
52,Stop Health,Toys,388.69
53,Contain Care,Electronics,470.05
54,Economic Focus,Toys,447.94
55,Bank Day,Toys,300.96
56,Necessary Some,Furniture,461.33
57,Report Black,Furniture,48.8
58,Carry Weight,Electronics,102.01
59,Hot Rich,Furniture,27.39
60,Painting Group,Toys,166.04
61,Since Mr,Clothing,197.4
62,Turn House,Clothing,139.32
63,Operation Store,Toys,415.23
64,Writer Enough,Furniture,181.59
65,Herself Each,Toys,144.06
66,Someone Machine,Furniture,273.63
67,Huge Southern,Books,74.76
68,Standard Fire,Electronics,402.09
69,Somebody Lead,Toys,41.9
70,Street Yes,Books,493.51
71,Response Leader,Toys,387.26
72,Test Allow,Electronics,103.36
73,Less Performance,Electronics,7.73
74,Family Research,Clothing,408.65
75,Record Face,Furniture,354.89
76,Fly Very,Electronics,365.86
77,School Above,Books,386.78
78,Child Close,Toys,41.65
79,Peace College,Electronics,182.44
80,Also Remember,Electronics,62.36
81,Summer Peace,Furniture,432.24
82,Significant Them,Toys,313.53
83,Almost Value,Toys,168.79
84,Beat Move,Clothing,36.46
85,Candidate Least,Clothing,158.94
86,Five Base,Furniture,165.97
87,Table Research,Toys,366.16
88,Determine Politics,Furniture,320.59
89,Technology Suffer,Electronics,444.17
90,Executive Foot,Clothing,238.75
91,World Player,Furniture,64.2
92,Glass Morning,Clothing,358.06
93,Describe Continue,Books,381.59
94,Approach Letter,Furniture,282.83
95,Mention Experience,Toys,386.63
96,Nearly Can,Furniture,249.43
97,Star Power,Clothing,263.75
98,Growth Baby,Clothing,216.63
99,During Her,Toys,17.58
100,Later Gas,Electronics,58.41
